SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
YCR020W-B	HTL1	-	1476.362659	1491.432562	1542.449179	1277.275073	1359.069142	1134.646461	1346.951227	1423.934992	1307.691441	1309.929641	988.0071655	1264.099127	1371.394809	1495.151001	1622.235674
YDR286C	-	-	1951.266175	1190.777079	1131.943296	924.3645932	911.7647195	861.4461352	913.7466125	970.6592428	1170.36708	978.1665023	891.9396828	899.3179987	964.8960353	916.7105468	980.4090575
YLR342W-A	-	-	1841.947225	2001.845199	3718.439116	3711.580921	5161.515237	5045.350544	3399.857723	2204.414096	2396.675605	3116.22143	3603.709476	3632.306273	3026.788988	3039.752913	3055.368554
YBL043W	ECM13	-	614.7758229	677.572348	521.274322	372.5437883	359.429261	336.4428047	375.6168656	342.1902115	301.9503133	283.1495675	283.3229005	288.6594578	288.3209808	265.8584691	282.1426478
YLR018C	POM34	-	1995.911176	2450.713367	2661.819436	2770.804383	2541.960044	2489.460105	2750.992525	2640.327064	2531.471482	2436.790265	2456.497731	2471.35076	2512.815994	2450.813077	2454.217352
YMR076C	PDS5	-	535.1490003	736.9312306	1831.371355	3312.525114	5047.450893	3548.502807	1759.874108	855.334077	1308.309529	1984.220725	2147.093864	2038.162823	1968.144734	2083.356927	2072.299738
YOR251C	TUM1	-	3451.870682	3518.452451	4714.049166	3778.465582	3540.3461	3211.0924	3063.180427	2901.579402	3094.669435	2938.223592	3068.419151	3009.859987	2852.07999	2573.642654	2748.694794
YJR135W-A	TIM8	-	2578.761669	3100.543247	4019.68407	3432.828405	3566.778288	3624.705106	3846.754361	3672.157287	3711.157868	3627.240716	3420.476714	3851.729111	3766.43165	4186.878452	4136.157943
YOR186W	-	-	755.6198435	402.3951232	444.679128	284.6597716	258.1316738	306.2630392	286.0471013	277.4631341	290.0997244	317.8912774	277.8041079	252.304152	277.2688077	266.9814082	270.4113266
YDR083W	RRP8	-	3339.110007	4319.104037	5342.264619	5154.133388	4618.653563	4741.286031	4711.324245	4572.01724	4680.045501	4678.681936	4645.348589	4402.04536	4261.858825	4484.182725	4250.253539
YOR011W-A	-	-	184.8546495	169.6112637	177.8924	179.7147589	186.8138721	180.0504892	185.9128498	187.1130355	196.5362175	168.9172536	171.9745934	181.9131935	177.1218176	182.3614828	186.7180228
YOR267C	HRK1	-	5705.854723	3896.313132	2298.326686	2098.604927	2059.529864	2476.663037	2594.183946	2385.310448	2617.208889	2824.125687	2725.013509	2632.111941	2794.619055	2548.448644	2820.196931
YLR109W	AHP1	-	28578.44051	29052.49913	26374.04895	23198.62273	21782.98338	21632.21672	23193.53714	24329.80706	25199.77545	25129.87068	24932.32455	24524.23964	25048.23932	24427.65143	25240.22048
YOR032C	HMS1	-	236.2152828	229.5365572	247.3192592	246.9417844	238.825587	269.7863692	258.0294738	245.9101671	239.4921069	239.554729	267.3391488	255.2516497	256.6768169	243.4228508	231.0429178
YOR091W	TMA46	RBF46	1646.799475	3646.129082	3970.086957	4189.246959	3894.416907	3715.800863	3617.130889	3566.903975	3548.625838	3419.448674	3678.163232	3411.860798	3475.66147	3294.80937	3380.742862
YBR205W	KTR3	-	2332.372082	2843.506865	3185.211255	3742.963918	4169.780276	4369.588235	3992.230349	3804.462031	3618.406776	3773.207246	4027.433978	3941.760361	3742.245334	3720.156083	3739.093248
YLR316C	TAD3	-	921.2426008	1108.924305	1487.90567	1183.001004	1110.415976	1145.171035	1141.985527	1192.355044	1265.996365	1150.890553	1109.600127	1122.401081	1097.067407	1002.78076	1000.265031
YLR292C	SEC72	SIM2|SEC67	3071.376776	3769.033526	3520.34782	4274.689513	4277.753919	3807.678658	3750.059991	3833.491771	3944.720423	3837.976809	3629.12893	3605.582933	3941.499074	3922.380847	3903.857913
YLR216C	CPR6	CYP40	9499.38187	9695.26127	5205.502507	4767.454196	4542.917822	5045.889639	5947.298253	7081.259392	7804.333061	7657.926601	7579.973053	7335.904207	7242.928064	7377.501728	7590.445725
YCR044C	PER1	COS16	4395.54266	3916.607163	3052.432074	3008.080628	2955.455322	2811.224392	2888.803861	3130.960863	3725.945714	4150.969366	3994.663808	3825.315246	3931.594302	3635.028195	4098.13441
YDR046C	BAP3	PAP1	6027.186047	6191.434771	4057.736746	4426.27058	7845.788938	7706.733687	6967.911262	7545.070673	8825.166356	8588.994441	8331.523221	8029.973242	8390.33078	8021.355253	8449.425585
YJL092W	SRS2	HPR5|RADH1|RADH	514.390223	385.7623165	401.7478716	638.9873507	1526.231555	1964.705272	1766.218543	1153.880801	862.7724245	926.9156578	1211.726328	1291.292675	1287.558112	1129.242429	1204.266534
YML018C	-	-	2634.458774	4252.724658	5639.815319	5177.492638	5344.763455	5217.544273	5025.999146	4869.435229	4954.165483	4945.890885	5060.028216	5326.543526	5120.675014	4826.612676	5140.891609
YDR096W	GIS1	-	3301.262751	1518.048286	1002.381122	1265.132847	1487.964871	1254.744611	1156.489069	1379.76982	1327.781643	1267.165934	1229.470411	1124.547982	1272.432809	1244.15163	1361.24677
YLR445W	-	-	301.5256322	278.0045645	283.9005264	298.3492655	245.7423242	344.4997168	300.2114915	256.4014093	285.7716946	295.0224214	327.0004293	238.5742868	287.5430127	278.4659869	283.8123628
YOR369C	RPS12	-	26754.79539	26537.45539	26665.78741	25571.68936	26111.62964	26320.44164	26378.50011	26619.68972	26274.91812	26588.37192	26205.32455	26802.29014	25632.99072	26499.73094	26047.99692
YOR138C	RUP1	-	2927.329354	2035.381663	1842.475854	1686.865516	1703.216745	1791.703701	1777.079593	1862.91814	1976.897341	2016.811167	1932.196157	1832.60389	1880.500882	1929.590797	1994.030584
YGR246C	BRF1	TDS4|PCF4	1889.444992	1813.802461	2117.476979	2267.942438	2436.550448	2019.068633	1919.946246	2163.839019	2087.836573	1829.088523	1911.343131	1767.665919	1951.731563	1898.870364	1896.23498
YJR138W	IML1	-	1704.506049	1629.237968	1462.564547	1555.966553	1491.004064	1597.617653	1723.018055	1581.979698	1600.034426	1367.486807	1465.352675	1402.774094	1556.818422	1389.050424	1425.932316
YHR059W	FYV4	-	794.174319	903.631238	819.9499697	969.6647945	1031.291223	1054.636456	1055.266095	1012.320379	995.8352747	973.4949237	944.3117426	928.5818763	980.1100383	928.3720485	986.1438835
YLR138W	NHA1	-	4192.364839	3751.373556	4982.084146	3570.911084	3150.373741	3432.723095	3114.07637	3118.232149	3321.79976	3036.52272	3267.038729	3110.459249	3003.700022	2967.590785	3021.84243
YHL009W-B	-	-	1016.868827	960.5620368	864.3195539	756.6198666	587.1837559	457.3267416	561.8302753	610.4943296	597.1448513	473.5591901	485.4629008	504.2152628	538.3360577	483.6654412	524.4371651
YNL156C	NSG2	-	10271.34541	5822.59501	4173.772627	3576.891057	3157.910181	3048.947796	3584.618273	3968.001307	4271.371409	4190.595112	3818.246731	3800.756269	4118.798313	4159.96593	4311.897726
YNL106C	INP52	SJL2	1810.992846	1355.259635	1361.62872	1280.550654	1263.21284	1231.904894	1327.068083	1336.940729	1475.045816	1376.802218	1426.266921	1377.803135	1404.536306	1489.487964	1456.54305
YNL286W	CUS2	-	1155.50925	1180.709584	1125.182806	932.0138099	964.8720463	861.2961767	939.8104302	1058.839418	1073.344585	972.1916496	886.1002632	935.7634255	931.3457707	924.1046741	909.0984637
YNL093W	YPT53	-	494.1576869	401.3298356	340.9846474	354.7278448	406.026202	518.4828544	459.3771584	375.8717863	353.33248	389.1451826	402.5912248	391.0742179	379.3638763	355.4960966	390.0172318
YIL040W	APQ12	-	6264.47326	6469.91503	6131.624319	5813.57367	5386.313804	4901.605839	4950.922712	5108.501344	5210.553999	5014.022334	5080.377991	4781.843918	4822.674158	4616.374136	4921.414269
YKL104C	GFA1	-	5162.55726	5508.328507	4785.633895	7348.602646	6920.869035	5212.989246	5528.882201	7229.044448	7541.987647	6845.057057	5983.225974	5870.573183	6577.865115	6566.754439	6761.385432
YLR186W	EMG1	NEP1	4712.338877	7292.148579	8871.885684	8163.004043	7729.558097	7793.793458	7980.348215	7646.837828	7597.927199	7295.36019	7329.48538	7136.23444	7095.837026	6907.41545	6908.663427
YDR425W	SNX41	-	1056.805033	560.3270683	377.5452185	485.2674156	492.9503052	458.8185285	520.1260763	614.9683316	665.0334092	621.2427394	564.178633	569.5600132	642.2177537	624.5062495	611.5379267
YGL134W	PCL10	-	2321.272227	1894.140095	2577.255276	1953.030952	1970.280609	2485.772875	2704.765756	2054.45531	2212.11017	2296.413171	2281.995994	2479.255711	2215.720539	2383.819095	2125.109483
