chr,start,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
1,114000,1.5991486206930585,1.726260442193802,1.9109350903304863,2.5550025074236626,2.7547798636486864,2.5492995250582435,2.907223726923707,2.7141369090418794,2.1617394809567916,2.161871268763136,2.237265879845813,2.0427378526247297,2.0835999536092014,2.3068513118118914,2.483789657842498
1,116000,1.8184353743941843,1.9628177489006409,2.1820855372547436,2.7568192469133015,2.9587836509483845,2.812096812002046,3.098837311354239,2.8977828450180487,2.3196856762519165,2.365990406668678,2.434442667461502,2.248118949927257,2.2596168005427115,2.4728630497841335,2.649071010107868
1,118000,1.9076597765410659,2.062449528995282,2.2967026246118154,2.829055108590417,3.032595503915935,2.88777208127232,3.276592253140803,3.075063516459568,2.443773991464564,2.466364048229747,2.5289732053284877,2.3261070326440363,2.3727861291177965,2.6082506023054246,2.7818949499165613
1,120000,1.7223911646159757,1.874674530267449,2.1555117711892873,2.759217184788873,2.9316792395847826,2.677943566837784,3.1479377636518064,2.961423157765496,2.367082527022592,2.3492738619030615,2.408227270455038,2.1725760624810464,2.2593097116957908,2.475425409060686,2.683723967979587
1,122000,1.8042346896845585,1.967096995899504,2.172317771630434,2.741343285879861,2.904368739836894,2.6364100813542697,3.174510104656918,2.9962800937543568,2.413700542374245,2.352747859969784,2.431983956224223,2.182783135835925,2.3108333653940374,2.5342521984230966,2.7724854961160283
1,124000,1.7700544295519531,1.950434971018194,2.1046533175757083,2.665635717767292,2.7645727421091277,2.477512278657927,2.9925039181976487,2.799385297365311,2.2971820913818344,2.224352075462809,2.3036515396373947,2.048921528462493,2.163883143950437,2.41015059765565,2.6701171545104834
1,126000,1.765003667216269,1.933274334825547,2.0785845742638296,2.7110862741869135,2.807167298847385,2.5379523486675057,3.0848089120385893,2.9082623981962232,2.374622368775275,2.292866947883202,2.3773134859443537,2.117680182826959,2.234127309590937,2.5014119880286985,2.7617331861947085
1,128000,1.8429321035002437,2.0212797927793784,2.1509386807613122,2.7881958707164602,2.850589542878001,2.588890863664109,3.0595571697936608,2.915903482251322,2.416272459921988,2.344280043153507,2.413086865220454,2.1517565986219327,2.2416066750062558,2.5444882984411996,2.7832862395648412
1,130000,1.9480611580347753,2.1586566118492656,2.233753783045968,2.7955456740812923,2.851882258878397,2.6427927708688337,3.0273244867805684,2.902007507192936,2.441371364496727,2.3951334923587857,2.439997459402247,2.1863148964988883,2.234337025570531,2.573180249370974,2.8016410110666414
1,132000,2.132016869400981,2.3397789659154653,2.4090692354736145,2.880156548171488,2.9426592743054787,2.756156894492305,3.0623437779130254,2.967929416760378,2.5230764275286353,2.5013587317176413,2.5089398236398117,2.2629874231855878,2.3001075649958644,2.6619011760195184,2.874547139697496
1,134000,2.4263441301176485,2.636671126008272,2.7589834750837734,3.0342062240659375,3.1109090051222394,2.9323388611767838,3.2039008637174473,3.1369386769062593,2.703139278891285,2.6576097223431994,2.6595325440253057,2.3875536613322312,2.417256325075346,2.7884895499599347,3.023377715292075
1,136000,2.1757601371623956,2.396942055591729,2.788749607698454,3.0501059561985033,3.0689293094909016,2.8265961652629676,3.0615777144259155,3.0174177767034163,2.666552687573966,2.587640472071516,2.586370799265292,2.286044821998194,2.279190159730708,2.675225080101316,2.9320673285317507
1,138000,2.128329151553666,2.3225093467533977,2.871229102263771,3.024907243269604,3.0510387555002056,2.8654583824900244,3.082065630584144,3.078212730690387,2.7266070850514894,2.608961217800248,2.5917884150349133,2.319854983288374,2.3163919373246293,2.6894915478228354,2.943845183605984
1,140000,1.8614259215295275,2.0330831021515037,2.8019041175820494,2.9722431383253247,2.969338490505953,2.7902492595921076,3.0178379854749213,3.05507951777464,2.6559638220480535,2.571517957608296,2.5324547524701337,2.2615075987339437,2.2539159140235947,2.639839960101034,2.8692969122889282
1,142000,1.8257079395727176,2.0071275662406665,2.8947554975290757,3.0843124335387517,3.0597032728426505,2.856151984684477,3.0740378914611757,3.0796014306394244,2.6829353380025145,2.651969238755685,2.6092626911733103,2.3391147058514714,2.2844559915500944,2.689652595027466,2.9394195295723686
1,144000,1.686983974992906,1.8659968653193615,2.8521147983414736,3.124836737429194,3.083284347239769,2.8567214742394227,3.1202083953782784,3.1200576076655637,2.6777466467366167,2.672872360515091,2.6193023298592166,2.358908377234075,2.2900670816458444,2.6946510404658297,2.9569764368822433
1,146000,1.9425551465062165,2.0917085863675546,2.947855301050058,3.1781511829629783,3.151706331424684,2.9417471305463083,3.247418446036741,3.23647437795543,2.7536007706629397,2.7411716057124287,2.681683150983519,2.4534861855147736,2.4207427145991094,2.8252042402572766,3.0738550357242924
1,148000,1.9432621961019683,2.0943034327391907,2.9670913079266716,3.2381172108082072,3.190493752809852,2.948415169669792,3.309362965719796,3.243119726003783,2.735786768615927,2.743844516796343,2.7019508367330953,2.455374415349699,2.4293080429033203,2.8405100818540103,3.0919611677274603
1,150000,2.1315711451437305,2.2715982700943016,3.138326895703488,3.4288587241556927,3.3571585751138575,3.10147673234646,3.465001043769892,3.368604302947552,2.8840741020431286,2.855385453867611,2.8418620737224436,2.5809698618853254,2.589379588843404,2.969922205709678,3.249680343092039
1,152000,2.2333005249734525,2.3607524866270917,3.251774022737727,3.5445069565749843,3.4792691840779013,3.2331510308432847,3.616610712078232,3.5354761235114855,3.0163242781858766,2.953684435798583,2.93689977580762,2.6831667760281217,2.7327804539723184,3.1129406225400915,3.3826823723925394
1,154000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,156000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,158000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,162000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,164000,2.130628864485789,2.339752663779798,3.0957859307796043,3.3536509899222997,3.2480017697132326,2.9029698451797006,3.2599687455205633,3.256783407866477,2.814281974309889,2.7117237475722904,2.6992100110689274,2.387800078496384,2.500658581568585,2.879520091640332,3.154151181933016
1,166000,2.0896593344488954,2.294836645588922,3.1072685851424544,3.348454623275359,3.2198244261061504,2.8571358887304146,3.241467090244138,3.260316854428355,2.8219068129689364,2.70533270225031,2.6841867268690587,2.3639936517287374,2.488962084559537,2.8743398731826697,3.1464689156319694
1,168000,2.2081977315686006,2.3956445641138973,3.2291360260302704,3.356546832778391,3.2415439519283997,2.9176393130371188,3.2649939732806437,3.2926094968120028,2.82136146211773,2.7382338200410317,2.71119539739157,2.3895472794134807,2.5041678275221466,2.916602743098352,3.1763203139835436
1,170000,2.0829588230904648,2.2743461311454163,3.196818839823359,3.3193994355287453,3.2014580172727034,2.8841546744029003,3.206869362410273,3.208125506980925,2.75452390676079,2.687815722720753,2.665630447536272,2.3337970976091342,2.440718025823004,2.8253504930684294,3.0868345048673747
1,172000,2.271585967950134,2.445356594250637,3.296213379443525,3.363833358491876,3.296998627528857,2.991742236897839,3.3696540643049753,3.342766119508959,2.847366925583333,2.7499013358575333,2.7272787916075063,2.428481618900005,2.5438564612538808,2.94240208090519,3.1839332224796393
1,174000,2.571820857392529,2.7268833537037103,3.4269104383142577,3.4696100876377445,3.4195877690471734,3.1477884335688353,3.467157202050965,3.438906884046535,2.9211123299748016,2.8200521869318296,2.7956051159462096,2.550314500890234,2.6672173288665846,3.0334127693743307,3.2695183530212844
1,176000,2.695501464238618,2.8679452012775917,3.4599809747468275,3.5558997671577655,3.532945751709026,3.271892787471154,3.5966100503214506,3.5442364959469135,2.978291056698072,2.8933444731406555,2.8871368265678647,2.6643976507565545,2.78672208769911,3.125561254669874,3.357756247464607
1,178000,2.5288014879535923,2.690919060389905,3.202208863506999,3.4152635506458333,3.4075597190441744,3.1398671659365367,3.499946495396463,3.4526340355876073,2.8679616640523102,2.7986639087655223,2.7933359511399325,2.576390985639889,2.7258452286288875,3.033962773416651,3.25911651869856
