"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YAL012W",14.6829221447843,14.3092897312436,14.1209081241271,14.253145353982,14.5063409201647,14.4096737970613,14.1045095831716,13.8536555994872,13.8736966705276,13.9443126761837,13.9852728808741,14.1203602491164,14.2963644125232,14.2500889384862,14.3910496836442,14.3914061484884
"YAL011W",9.37513300785948,9.87989844010305,9.77877777987339,9.82859384341125,9.95125337477775,10.169933542316,10.1950505600225,10.0606159620125,10.0134360535391,9.96748264116357,10.1177509362556,10.2300197305123,10.1587561487567,9.99733362470516,10.0126717133255,9.93662918426388
"YAL010C",9.90392021947794,9.72594186910421,9.42797421861157,9.58881565665697,9.5887078380373,9.81792244094215,9.88300837621342,9.77314742664657,9.79079558817622,9.73594869794313,9.76998344802857,9.69045116465515,9.85800433491648,9.80872135655395,9.80733987619401,9.80823399681272
"YAL009W",9.61302416818875,9.5705581151208,9.33883896266477,9.40497840986957,9.49429627388098,9.49619827978024,9.46001289135394,9.47274824373942,9.34160809374842,9.40675762255766,9.4577496830412,9.55149327370095,9.53120320004009,9.55826725632134,9.5319078728527,9.53487173014181
"YAL008W",10.0632241007961,9.9977631777799,9.38504399435227,8.89604993747797,8.76445882612908,8.71372061696754,8.45731697217299,8.65150609407524,8.74629946095161,8.86374208540562,8.84895468317993,8.91756384713942,8.94437395849737,8.9674058250842,9.12263972162428,9.34149769655512
"YAL007C",12.0420426498083,12.024834599634,12.3913534155628,12.5187541394959,12.4025608404678,12.2114336524097,11.932365353872,11.9359313686118,12.1612836852448,12.3546988588309,12.3042045988111,12.1686220712487,11.9920904355935,11.9503625095899,12.0379465650758,12.2115945796123
"YAL005C",15.7746327312405,15.3450103752291,14.7816419132812,14.4235972598068,14.1763263256493,13.644741484576,13.3026259817961,12.9950297271564,13.1097527392029,13.6147045158206,14.1164969185783,14.2660960213095,14.412920473947,14.5020840630878,14.7998305197356,14.955878113905
"YAL003W",15.6480634274328,15.5501089980878,15.7876703810663,16.109869457429,16.3482482847881,16.4864025889445,16.5724089824371,16.4898518344923,16.5064853230793,16.5316827556693,16.5771880278588,16.5846448106934,16.6136689581767,16.4026348509679,16.4099704143256,16.302807219973
"YAL002W",11.6294079290137,11.1763385842462,10.6756411060931,10.8635609385158,10.7672350481903,10.7939394114231,10.9083816176566,11.0212290817654,10.9580655606768,10.9856827371726,10.9189842650864,11.0245467441236,11.0532158950626,11.17891225732,11.179379832515,11.1382023886145
"YAL001C",11.3882694003239,11.2714288863703,11.1372108538577,11.2246321032982,10.9536912876398,10.7428086832127,10.8879664365116,11.2474499159166,11.2923220559301,11.5041899412214,11.487560422253,11.1899027658772,11.1601062538864,11.3582312837732,11.4444648990223,11.4980942091862
