,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
221,83189,82304,81865,72234,72959,84939,66426,65085,49654,61915,59742,62992,57961,57988,59326
222,80979,81210,80503,69813,70808,83369,64578,63613,48439,60628,58121,60996,56254,56869,57933
223,80011,79657,78647,68064,69195,81468,63080,62156,47253,59163,56498,59743,55121,55074,56922
224,78464,77960,77420,66905,67618,79481,61809,60800,46148,57140,55461,58098,53733,53575,55491
225,76551,76514,75770,65448,66360,77729,60528,59795,45033,56599,54355,56730,52431,52643,53983
226,75730,75652,75099,63850,64487,76122,59204,58426,44454,54968,52881,55874,51385,51244,52873
227,73923,74246,73379,62342,63282,73857,57941,57401,42904,53917,51623,54677,50183,50011,51215
228,73784,73046,72304,60530,61644,72781,57301,56319,42610,52692,51028,53983,49353,49170,50437
229,72720,72909,71479,60155,60811,71829,56280,55249,41617,52272,49444,53384,48325,47816,50095
230,72073,71415,70346,58877,59644,70106,54355,53795,40723,50767,48712,51914,47548,46872,48646
231,70492,70405,68913,57574,57992,68402,53625,52672,39817,50089,47456,50546,46484,46095,47338
232,69217,68916,67338,56301,56351,67554,52315,51607,38897,48872,46410,49547,44955,45307,46331
233,68135,67887,65933,54850,55334,64826,50930,50269,38106,47675,45373,48782,43997,43942,44989
234,67032,67219,65628,54320,54845,64960,50301,49768,37552,47369,44845,48083,43755,43268,44700
235,67454,67066,65335,53656,54514,64284,50145,49209,37392,46993,44401,47245,42930,42866,44377
236,65888,65574,63854,52509,52632,62496,49038,48636,36481,46041,43455,45925,41677,42054,42879
237,65338,65754,63348,52289,52390,61883,48565,47943,36007,45073,43085,46183,41879,41348,42704
238,65556,64910,62733,51197,51551,61413,47841,47565,35826,44676,42455,45256,41111,40416,42262
239,64828,64005,62178,50597,50739,60049,47009,46478,34883,43898,41495,44653,40824,40247,40937
240,63000,63008,60446,49308,49165,58841,45767,45541,34363,42563,40388,43479,39545,38921,40457
241,63169,61740,59674,48498,48757,57351,45344,44443,34003,42573,39865,43419,39164,38714,39531
242,62783,62728,59971,48573,48891,57939,45521,44900,34005,42412,40145,43203,38919,38672,39933
243,62547,62108,58950,47450,47624,57067,45352,44382,33449,41661,39383,42421,38228,37962,39387
244,62262,61784,58919,47894,47097,56905,44626,43991,33685,41694,39218,42074,38287,37901,38742
245,61388,60710,58034,46610,46852,55318,44331,43158,32552,41182,38276,41134,37920,37205,38293
246,60988,60081,57315,45793,46191,54418,43430,43023,31920,40351,37840,40577,36641,36442,37420
247,60530,59373,56570,45032,45624,54030,43420,43133,32215,40413,37297,40775,36912,36269,37038
248,60083,59728,56080,45184,45302,53355,42981,43000,31866,40055,37082,39941,36285,35980,36640
249,60320,59976,56627,45033,45010,53351,43012,41917,31902,39837,37009,39733,36320,35949,37034
250,59457,58938,55953,44822,44929,53033,42797,42028,31495,39738,36487,39470,36265,35763,36552
