orf_name,coverage_rep1,coverage_rep2
YBR289W,0.98,0.98
YBR290W,0.98,0.98
YBR291C,0.98,0.98
YBR293W,0.98,0.98
YBR294W,0.98,0.98
YBR295W,0.98,0.98
YBR296C,0.98,0.98
YBR296C-A,0.98,0.98
YBR297W,0.98,0.98
YBR298C,0.98,0.98
YBR298C-A,0.92,0.96
YBR299W,0.94,0.94
YBR301W,0.74,0.76
YBR302C,0.0,0.0
YCL073C,0.86,0.88
YCL069W,0.7,0.7
YCL068C,0.32,0.36
YCL067C,0.0,0.0
YCL066W,0.0,0.0
YCL064C,0.98,0.98
YCL063W,0.98,0.98
YCL061C,0.98,0.98
YCL059C,0.98,0.98
YCL058C,0.98,0.98
YCL058W-A,0.98,0.98
YCL057C-A,0.98,0.98
YCL057W,0.98,0.98
YCL056C,0.98,0.98
YCL055W,0.98,0.98
YCL054W,0.98,0.98
YCL052C,0.98,0.98
YCL051W,0.98,0.98
YCL050C,0.98,0.98
YCL049C,0.98,0.98
YCL048W-A,0.98,0.98
YCL048W,0.98,0.98
YCL047C,0.98,0.98
YCL045C,0.98,0.98
YCL044C,0.98,0.98
YCL043C,0.98,0.98
YCL042W,0.98,0.98
YCL040W,0.98,0.98
YCL039W,0.98,0.98
YCL038C,0.98,0.98
YCL037C,0.98,0.98
YCL036W,0.98,0.98
YCL035C,0.98,0.98
YCL034W,0.98,0.98
YCL033C,0.98,0.98
YCL032W,0.98,0.98
YCL031C,0.98,0.98
YCL030C,0.98,0.98
YCL029C,0.98,0.98
YCL028W,0.98,0.98
YCL027W,0.98,0.98
YCL026C-B,0.98,0.98
YCL026C-A,0.98,0.98
YCL025C,0.98,0.98
YCL024W,0.98,0.98
YCL021W-A,0.98,0.98
YCL018W,0.98,0.98
YCL017C,0.98,0.98
YCL016C,0.98,0.98
YCL014W,0.98,0.98
YCL012C,0.98,0.98
YCL011C,0.98,0.98
YCL010C,0.98,0.98
YCL009C,0.98,0.98
YCL008C,0.98,0.98
YCL005W-A,0.98,0.98
YCL005W,0.98,0.98
YCL004W,0.98,0.98
YCL002C,0.98,0.98
YCL001W,0.98,0.98
YCL001W-A,0.98,0.98
YCL001W-B,0.98,0.98
YCR002C,0.98,0.98
YCR003W,0.98,0.98
YCR004C,0.98,0.98
YCR005C,0.98,0.98
YCR007C,0.98,0.98
YCR008W,0.98,0.98
YCR009C,0.98,0.98
YCR010C,0.98,0.98
YCR011C,0.98,0.98
YCR012W,0.98,0.98
YCR014C,0.98,0.98
YCR015C,0.98,0.98
YCR016W,0.98,0.98
YCR017C,0.98,0.98
YCR018C,0.8,0.76
YCR019W,0.98,0.98
YCR020C,0.98,0.98
YCR020C-A,0.98,0.98
YCR020W-B,0.98,0.98
YCR021C,0.98,0.98
YCR023C,0.98,0.98
YCR024C,0.98,0.98
YCR024C-B,0.98,0.98
YCR024C-A,0.98,0.98
YCR026C,0.98,0.98
YCR027C,0.98,0.98
YCR028C,0.98,0.98
YCR028C-A,0.98,0.98
YCR030C,0.98,0.98
YCR031C,0.98,0.98
YCR032W,0.98,0.98
YCR033W,0.98,0.98
YCR034W,0.98,0.98
YCR035C,0.98,0.98
YCR036W,0.98,0.98
YCR037C,0.98,0.98
YCR038C,0.22,0.22
YCR039C,0.06,0.1
YCR040W,0.0,0.0
YCR042C,0.98,0.98
YCR043C,0.98,0.98
YCR044C,0.98,0.98
YCR045C,0.98,0.98
YCR046C,0.98,0.98
YCR047C,0.98,0.98
YCR048W,0.98,0.98
YCR050C,0.98,0.98
YCR051W,0.98,0.98
YCR052W,0.98,0.98
YCR053W,0.98,0.98
YCR054C,0.98,0.98
YCR057C,0.98,0.98
YCR059C,0.98,0.98
YCR060W,0.98,0.98
YCR061W,0.98,0.98
YCR063W,0.98,0.98
YCR065W,0.98,0.98
YCR066W,0.98,0.98
YCR067C,0.98,0.98
YCR068W,0.98,0.98
YCR069W,0.98,0.98
YCR071C,0.98,0.98
YCR072C,0.98,0.98
YCR073C,0.98,0.98
YCR073W-A,0.98,0.98
YCR075C,0.98,0.98
YCR075W-A,0.98,0.98
YCR076C,0.98,0.98
YCR077C,0.98,0.98
YCR079W,0.98,0.98
YCR081W,0.98,0.98
YCR082W,0.98,0.98
YCR083W,0.98,0.98
YCR084C,0.98,0.98
YCR086W,0.98,0.98
YCR087C-A,0.98,0.98
YCR088W,0.98,0.98
YCR089W,0.98,0.98
YCR090C,0.98,0.98
YCR091W,0.98,0.98
YCR092C,0.98,0.98
YCR093W,0.98,0.98
YCR094W,0.98,0.98
YCR095C,0.98,0.98
YCR095W-A,0.98,0.98
YCR096C,0.48,0.48
YCR097W,0.98,0.98
YCR098C,0.98,0.98
YCR099C,0.98,0.98
YCR100C,0.98,0.98
YCR101C,0.98,0.98
YCR102C,0.96,0.96
YCR104W,0.58,0.62
YCR105W,0.98,0.98
YCR106W,0.98,0.96
YCR107W,0.98,0.98
YCR108C,0.88,0.96
YDL248W,0.44,0.5
YDL247W,0.04,0.08
YDL246C,0.02,0.0
YDL245C,0.0,0.0
