,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
139,149507,167645,165686,225236,253749,221205,290987,278537,211133,198713,211413,183597,196335,224018,232781
140,149806,167452,165402,226595,254341,223209,291821,277358,210708,200717,211631,184917,197851,225613,233739
141,151155,168623,168275,229614,257990,227488,295347,281819,211719,203389,215324,187809,198666,228403,235790
142,153694,171181,171324,233580,263003,232657,298841,284912,214674,205648,217497,190723,202021,231403,240070
143,156527,173649,174033,238164,267070,235039,302914,289006,217209,208632,221040,193572,206015,234565,243330
144,162044,179212,179754,246534,275870,243962,313258,298133,223346,216448,228268,200292,213732,243037,251763
145,169171,186394,186176,256633,286508,252509,324714,310448,231450,225601,236925,207814,219456,252264,260587
146,175267,192779,192509,265515,294758,260869,334601,320448,237507,232965,243520,215286,227745,260407,269987
147,183850,204257,202099,278321,307818,272003,349439,333522,247422,242275,253886,224955,237611,272318,281821
148,195244,213637,210964,290784,319702,284273,363852,347980,257383,252398,265344,234186,248368,285399,294952
149,203579,223557,219037,301055,330362,293046,375853,359758,264835,261330,272935,243085,257500,295815,305373
150,214322,232403,228325,312632,343039,305881,389351,372871,273254,269997,283601,252601,268558,306988,318520
151,223863,243491,240009,326196,355813,320896,404236,386657,283236,280037,293541,262269,280011,320463,332547
152,234878,254586,248849,335458,367143,331045,415788,397833,290802,289984,302460,271353,289794,332060,343284
153,246350,265224,258515,348319,379672,343493,429186,411332,298326,299838,314432,283044,301227,344758,356128
154,257540,277426,270532,364411,395004,358055,445173,427808,310117,312955,327395,295274,316484,359818,373713
155,269556,289549,283021,376743,408574,373167,460972,441234,320190,324885,339527,307972,328158,375226,389282
156,283499,303648,297620,391890,425498,388847,478103,459298,332501,337774,352596,323698,344028,391758,405919
157,298013,317450,309396,409224,442784,407893,494697,474962,344479,352369,368881,338028,360007,408551,424170
158,308244,327785,320438,418383,453458,422952,506397,483873,351388,361523,380055,349181,371385,419352,435340
159,318933,336336,331331,429456,464882,435032,514660,493402,357776,371436,386403,359636,381839,431059,446596
160,326579,344062,340514,437899,472957,447568,522575,499122,363903,378434,396687,368110,389312,440151,455546
161,329654,347315,341567,437506,473012,452138,520553,497584,361849,377567,395341,370208,392585,440121,454890
162,332429,350346,346157,440871,476068,456385,520227,496345,360582,380070,397173,373326,395333,442202,458177
163,336698,352797,349416,440847,478437,464310,520842,496421,362022,384774,400511,378747,399154,444072,461750
164,337065,353545,351680,440291,477609,467167,514735,491392,359820,382934,400235,379640,398652,443117,458024
165,337612,352400,353911,440613,477922,472147,512070,488011,356705,383413,401655,381009,400075,444254,458991
166,336950,349808,352071,436224,476265,470292,506724,481778,353325,383538,399922,380991,399820,441065,454702
167,331475,345603,347762,427615,465295,465533,491689,466519,344939,376958,391895,376585,393146,429823,443318
168,326082,339234,341047,420238,456431,459667,479200,454037,335095,367838,382944,368743,384314,419693,434984
169,319113,330765,335704,409706,443968,449587,462328,439689,324959,358642,373588,360665,372716,405701,418945
170,307240,318746,322642,394636,427513,435793,440682,419542,309374,344138,357844,346019,356989,387079,398299
171,296498,308716,313451,379949,411837,422434,423000,401422,297184,329626,344337,335217,343393,371896,383927
172,287541,298077,303562,366841,398566,409422,405154,386469,285881,320040,330672,321398,328893,356126,366661
173,276268,286889,292085,352075,382369,395097,385355,366342,272373,306992,317024,309761,314969,338859,349426
174,268884,278331,284185,341782,370120,383352,371219,354869,264220,297556,306950,298710,304224,327822,336703
175,262289,271469,278688,332159,361218,374076,360322,342926,255488,289535,299309,292234,296364,318304,326127
176,255397,262091,269317,320371,346298,360190,343997,327982,244880,279194,286826,282703,284664,303819,312390
177,248003,257275,263612,312415,337780,355508,333334,318022,238616,272383,280977,276364,276753,296028,303343
178,243362,251123,258869,303758,328796,347721,321662,307107,231330,265576,272181,269262,268562,285947,294748
179,235394,241871,249566,290859,315415,333186,306077,292205,220190,255218,261508,257245,256229,273622,281598
180,227716,235287,242438,281722,305293,324166,294616,280458,212676,245424,252003,248788,248128,261837,269611
181,220344,227531,234829,271636,293146,313896,281832,269460,203389,236829,241712,240131,238083,251364,257870
182,212107,218208,225739,260169,280424,299768,266266,254969,192828,225620,229937,228637,226023,237365,245359
183,204112,211251,218690,249020,269462,288633,254515,243867,184646,216920,220506,219446,215977,227566,233592
184,197219,202665,211689,239799,258091,277781,242659,232888,177361,208837,211936,211316,207504,217779,223750
185,189233,194657,201720,228455,245190,265766,230742,220480,167941,198373,201519,200365,197549,206021,211328
186,183954,188672,196656,220130,236798,256228,221509,211718,161720,191450,194405,194004,189569,197836,203553
187,177925,183513,190724,212901,229305,249003,211792,203550,155519,185505,186651,188125,182611,190208,195046
188,171948,176598,185157,203854,217660,237808,201673,194245,147611,177318,178250,178545,174512,181501,186215
189,168050,172763,179551,197960,210799,230928,194524,186750,143537,171028,173033,173633,169043,174721,179430
190,163367,167441,175224,189945,202942,222681,186705,179399,138158,165230,166237,167650,162054,167099,171411
191,157886,161189,168771,182222,193780,214028,177821,170635,131491,158015,158474,160268,153966,159899,164190
192,153060,156802,162954,175930,187015,206010,169934,163886,125776,152618,152185,153517,147880,152698,156798
193,147676,151859,157876,168885,179548,198604,163924,157157,120636,146582,146086,148530,141092,146363,150159
194,142867,147398,152178,161915,171644,190443,155426,150543,115521,140314,139758,141597,135469,138981,142947
195,138608,142951,148085,156398,164727,183888,149250,144618,111157,134996,134520,136371,129966,134113,136687
196,135327,138680,143384,150936,159290,176636,143705,140400,107958,130918,129868,131738,125736,128979,131737
197,131085,133943,139242,144657,152995,169922,137225,133114,102168,124825,124524,126033,120628,122772,126528
198,128656,131029,135405,139701,146899,165355,131979,128347,98575,121202,118897,122318,115797,118836,122039
199,124278,127496,132278,134749,142452,159885,127396,123753,95423,117135,116231,118112,111633,114598,117771
200,121623,124255,127848,130884,135675,153342,121788,118985,91324,112484,111613,114299,107315,109283,112550
201,117893,120637,124059,126056,131261,148118,117124,113811,87706,108410,106728,109986,103080,105305,107911
202,114937,117792,121425,120680,126793,142902,113511,110617,84975,104569,103121,105577,99116,100990,103897
203,111632,115010,117781,116956,121651,137149,108330,105964,82674,100420,99019,100697,95003,96928,100528
204,108846,111437,114157,113446,117306,133573,104780,102549,78775,97245,95464,97972,91793,93223,96413
205,106876,109068,111582,110038,113739,128499,101035,99149,76542,93996,92343,94805,89292,90831,93103
206,103664,106517,109376,105751,109517,125030,97890,95397,74014,90726,89303,92422,85084,86751,89209
207,101524,104351,106435,102926,106223,120554,94589,92387,71647,87775,86381,89172,82940,84492,86753
208,99461,101571,104213,99213,102421,117041,91226,89348,69288,85293,83567,86382,80416,81735,83902
209,97677,99609,101089,96490,98476,113324,88431,87032,66825,83217,81072,83218,77860,78454,81818
210,96206,97623,99598,93888,95764,110627,85804,85066,65490,81189,79290,81541,75518,76552,78895
211,94287,95746,97407,91379,93297,107346,83293,82439,63114,78501,77299,78804,73580,74410,76022
212,92359,94023,94569,88531,90717,103598,80113,79361,61132,76091,73897,76215,71003,72220,73796
213,90706,91664,92558,86248,87494,101088,79054,77319,59754,73479,71532,74266,68883,69615,72093
214,90030,90557,91888,83581,84899,98517,77361,76087,58357,72487,70218,72886,67400,68604,70197
215,87404,88866,88955,81775,83558,95443,75218,73686,56885,70318,68249,70605,65615,66129,67888
216,85415,87261,87367,79767,81019,94009,73431,72192,55076,68080,65960,69041,63252,64256,66258
217,84692,85989,85826,77565,79224,91574,71563,71172,54258,66741,64406,67207,62391,62799,64171
218,83652,83984,83906,75211,76401,89302,69266,68392,52087,64882,62129,65842,60563,60935,62795
219,82401,82808,82325,73588,74362,87003,68001,66454,50931,63601,61379,64054,58941,59562,61832
220,80885,81405,80345,71869,72810,84287,66098,65226,49899,61557,59444,62382,57827,58937,59619
221,79886,79740,79098,70237,70797,82034,64543,63304,48224,59983,57923,60972,56246,56358,57698
222,77881,78517,77865,67887,68808,80624,62776,61965,47147,58810,56314,58953,54587,55260,56291
223,76998,77067,76035,66257,67249,78889,61265,60581,45985,57388,54848,57853,53540,53504,55452
224,75806,75619,75084,65170,65753,76975,60201,59215,44912,55482,53886,56374,52358,52082,54039
225,74442,74647,73860,64020,64854,75797,59102,58526,44018,55197,53091,55219,51155,51405,52736
226,73801,73871,73224,62399,62925,74302,57854,57149,43506,53631,51590,54558,50213,50117,51718
227,72009,72298,71361,60900,61719,71866,56560,56199,41919,52546,50341,53318,49068,48795,49975
228,71671,71140,70424,59198,60206,70923,56053,55110,41684,51324,49758,52511,48117,48030,49266
229,70383,70634,69265,58498,59084,69483,54782,53839,40520,50687,48073,51783,46996,46497,48761
230,69489,69134,67710,57089,57794,67650,52799,52269,39454,49105,47179,50187,46057,45427,47144
