,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
180,229199,216654,178420,220245,232482,236138,261012,268094,265513,233089,264063,225162,173059,276805,344758,338316
181,221921,210185,174404,214712,227884,230016,252069,259061,259317,225707,256059,218295,166053,265333,329324,325473
182,213487,202769,168934,206759,220478,222161,239764,246453,250353,217504,246446,210704,157044,252556,311134,309168
183,205972,197525,163651,199924,214530,216686,230887,236281,243193,210752,238599,202828,149660,239726,295890,295305
184,198014,189187,159356,192806,207899,209306,221742,226487,235129,203079,229983,196613,143965,230843,282638,282246
185,191529,184019,154212,185710,200822,202415,211071,215509,227506,195570,219678,189823,135892,219815,265621,267493
186,185779,177302,151424,181132,196544,196918,204035,207777,221159,191376,214525,184180,130260,209683,255875,257524
187,179446,174240,147214,175468,193916,192638,197500,199006,217131,184955,207335,179268,125355,203221,245467,248483
188,173424,169298,143560,170043,188166,187586,188822,192321,209833,179832,200229,173276,118977,192932,232332,237155
189,170799,165749,141913,166886,184799,183418,183000,185233,206044,175576,194907,169706,115073,186479,223728,228976
190,165342,161577,137682,162161,180205,177865,177680,178840,200206,170677,189452,165886,110569,179753,214740,221904
191,159427,156714,134686,155798,174263,172702,168828,170151,195103,164765,181763,159982,105757,170090,204289,210805
192,154471,151752,131384,151329,169591,167814,162699,163099,188523,159137,175590,154682,100680,164370,195762,203132
193,149477,147907,128052,146314,166338,162442,155759,156414,183135,154304,169303,149792,96518,157553,188291,194322
194,143826,142259,124081,140798,159495,157208,149461,150684,177815,148747,163246,144535,92346,151315,178056,185358
195,139847,138989,122546,136785,155824,153296,143772,144587,172548,144592,158864,140392,88285,145455,171821,178647
196,136107,136569,119388,134114,152256,148887,139183,139789,168530,140888,153198,137071,85154,141300,165437,172102
197,131309,132303,116519,129117,148376,144453,132734,134125,163013,135387,148194,132422,81296,134667,158584,165647
198,129170,129527,114643,125278,144658,141128,129543,128923,158789,131933,143974,128417,77938,130000,152142,159451
199,125175,126476,112524,122295,141428,137568,124975,124386,156029,128409,139666,125316,75508,125803,147183,154610
200,122040,122738,110723,117578,137192,133086,119651,118978,150584,124688,133952,120851,72250,120742,141949,147589
201,118411,120209,107534,114349,134485,129172,115714,114647,146972,121397,129447,117385,69295,116849,135069,141853
202,114981,117527,105445,111302,130964,125825,111237,110438,142240,117538,127036,114897,67477,113201,130873,137481
203,111582,114130,102885,108250,127124,121672,107289,105931,139455,114123,121720,111094,64754,110058,126593,132852
204,109632,110651,101152,104291,123917,118365,102993,101670,135246,109956,118432,107740,62027,105647,122219,127233
205,106570,108205,99571,101631,121128,115141,99711,97630,132593,108423,114931,104626,60439,103723,118751,123837
206,103487,106149,98170,98467,117789,112533,95853,94626,128820,105019,110814,102096,58023,100216,114632,119720
207,101818,103598,95945,96786,114583,109301,93214,91782,125788,102456,107274,98883,56294,97469,112039,115881
208,99149,101944,94231,93736,112422,106236,90087,88592,122181,100263,104477,96900,53974,94637,108621,112505
209,97678,99812,92894,91088,110261,103394,86246,85620,119941,97194,102028,93999,52997,91386,104765,108656
210,95597,98606,91645,88926,107920,100838,84827,83810,118183,94764,99445,92323,51138,89632,102264,105643
211,92868,95637,89938,86843,106212,98860,81659,80627,115563,92387,96951,90295,50185,88660,100594,103429
212,90827,93773,88975,84540,103305,96384,79061,77322,112434,90338,94335,87681,48143,85412,96497,100178
213,89281,92100,87076,82561,100582,93974,76967,75501,110324,88275,91678,85273,47016,84447,94652,97050
214,88113,90642,86273,80696,99341,92449,75572,73888,108925,86205,89126,83550,46188,82830,93194,95544
215,87156,88630,85947,78925,97566,90499,72947,71612,106586,84662,87401,82068,44786,80405,90396,93049
216,85032,87508,84411,77227,94965,88931,70945,69481,104978,82566,84813,80131,43436,78853,88455,90217
217,83421,85856,83773,75305,94150,87543,69226,67549,103186,81473,82866,79143,42323,77764,86304,89006
218,82035,84078,82060,73529,91594,84836,67537,64885,100867,79183,80648,77153,41517,75597,83758,86391
219,80724,83247,80771,72276,89920,82891,65308,64134,98946,77110,78899,75306,40149,74474,82309,84167
220,79512,81799,79673,70378,88228,81469,63804,61908,96889,75924,77322,74233,39527,72766,80675,81912
221,77692,80431,78475,69228,86609,79746,62043,60305,94992,74829,75136,72465,37800,71277,78664,80018
222,76028,78393,78094,67132,85346,78493,60333,58325,93685,73209,73760,71346,37375,69898,77049,78539
223,74845,78078,77123,65897,84168,76340,59217,57335,91633,71323,71482,69539,36743,68349,75891,76701
224,73981,76304,76071,64307,83117,75206,57712,55489,90562,69788,70196,68514,35522,67106,73876,74423
225,73247,75129,75776,63623,81681,73351,56858,54699,89691,69291,69175,68074,35001,66152,73051,73909
226,71962,74405,75222,62268,80609,73222,55343,53420,88465,68480,68304,66778,34359,65342,71194,71852
227,71297,72799,74646,60863,79622,71736,53920,52074,87300,66914,66548,65411,33516,64818,70268,70586
228,70717,71865,74146,59836,78118,70175,53029,50957,86297,66429,65239,64431,32922,63473,68437,69110
229,69744,70977,73352,59163,77108,69432,51993,50005,84607,64402,63726,63669,32277,62872,68039,67788
230,67804,69701,72515,57719,75935,67861,50657,48864,83645,63417,62592,62050,31584,61342,66100,66190
231,67553,68804,71098,56681,75158,66932,49399,47597,82625,62525,61303,61128,30588,59982,64936,65166
232,66744,68142,70913,56256,74584,66062,48913,46914,82211,61728,60477,60392,30213,58874,63970,64015
233,65223,66718,70218,54774,72672,64936,47939,45798,80529,60432,59184,59768,29553,58375,63058,63259
234,64970,65978,70040,53999,72762,64530,47198,44897,80088,60540,58600,59216,29700,58018,62415,61476
235,64504,65826,68847,53043,71389,63148,46123,44070,78656,59175,58038,58419,29117,57536,61610,60575
236,63480,64963,68544,51856,70989,62975,45244,43039,77558,58151,56898,57571,28448,57093,60892,59989
237,62660,64023,67874,51378,69522,60699,44579,42116,76784,57013,55653,56512,27841,56459,59911,58395
238,61994,63408,67542,50336,68784,60495,43843,41846,75935,56438,54671,56104,27822,56190,59607,58638
239,61349,62213,67281,49780,68803,60349,43019,40484,75345,56013,54163,55780,27268,55299,58751,57402
240,60284,61544,66191,48676,66899,58332,42124,40071,73860,55521,53049,54696,26854,54957,58404,56390
241,59881,60500,66082,47814,66259,58389,41572,39167,74518,54175,52725,54529,26625,55167,58042,56336
242,58972,59264,65971,47674,66327,57624,41036,38654,73263,53619,51547,53823,26641,54283,57956,55127
243,58245,59374,65586,46268,65426,57368,40478,38225,72446,53143,51402,52858,26319,54259,57611,55000
244,58330,59121,65387,46687,65537,57068,39895,37730,72683,53413,51157,52989,25910,54986,57537,55284
245,57698,58377,65160,46034,65076,56417,40241,37682,72137,53122,50577,52641,25846,54106,57581,54371
246,57603,57288,64591,45350,64633,55721,39389,37036,71668,52577,50422,52316,25627,54585,57883,53816
247,57052,57483,64306,45065,63999,55588,39070,36722,71355,51665,49436,52204,25846,54707,56936,53846
248,56953,57015,63860,44073,63668,54818,38931,36045,71184,51607,49242,51165,25436,54671,57159,53542
249,56540,56053,63811,43575,63047,54047,37557,35657,70254,51020,48346,51240,25102,54614,57186,52566
250,56374,56361,63666,43246,62949,53966,38054,35168,70712,50714,48349,51412,25249,54614,57397,52781
