name,total_reads,coverage,small_reads,nucleosomal_reads,small_proportion,peak_position,peak_height,small_fragment_peak_position,small_fragment_peak_height,small_fragment_std
oridb_151,9615,4.8075,1408.6847951442674,8206.315204855733,0.14650907905816613,688,71.0,418,5.9146507597571,1.2188210073762509
oridb_152,8016,4.008,1018.0791987774232,6997.920801222577,0.12700588807103583,595,38.0,-13,8.803450461050133,1.2767454646978178
oridb_153,6065,3.0325,558.4331784207135,5506.566821579287,0.09207472026722399,-3,20.0,-827,1.2016812504815642,0.48575047101783664
oridb_155,10694,5.347,1087.5891531327065,9606.410846867293,0.10170087461499032,872,63.0,-64,4.7801221811947965,0.965466682920222
oridb_156,8717,4.3585,1360.9251927509688,7356.074807249031,0.1561231149192347,-457,63.0,-92,5.912479059873731,1.0925667694418948
oridb_157,7314,3.657,932.4695918589798,6381.53040814102,0.12749105713138909,278,41.0,277,15.852089563671132,1.4873735718152807
oridb_158,5917,2.9585,568.4553254685021,5348.544674531498,0.09607154393586312,213,26.0,183,2.677418078732234,0.5873113202706639
oridb_159,8272,4.136,1071.4160013681883,7200.5839986318115,0.1295232109971214,98,98.0,-47,8.729749830400467,1.30687983695984
oridb_160,8251,4.1255,810.0656029583674,7440.934397041632,0.09817786970771633,862,176.0,-288,4.110465466473128,0.7876140561190943
oridb_161,6304,3.152,1142.7478525254771,5161.252147474523,0.1812734537635592,89,146.0,90,36.91398940018598,3.549045405500618
oridb_162,4692,2.346,603.4035886259443,4088.5964113740556,0.1286026403721109,102,33.0,219,5.489106265338853,0.7731814502166113
oridb_163,8374,4.187,996.2691027326355,7377.7308972673645,0.11897171038125573,279,46.0,314,3.849336468134855,0.9467760199978635
oridb_164,8664,4.332,1069.779395564967,7594.220604435033,0.12347407612707376,-747,109.0,-888,21.252360059526005,2.0684769319454013
oridb_165,5452,2.726,734.6290092372924,4717.370990762707,0.13474486596428695,83,28.0,-42,3.862522884374936,0.8061254022500571
oridb_166,8690,4.345,963.9765045691806,7726.02349543082,0.11092940213684473,369,58.0,-305,9.88313415043002,1.3922274912611337
oridb_167,9145,4.5725,859.1842126976911,8285.815787302308,0.09395125343878526,143,133.0,67,19.38411258388389,1.8745899361634026
oridb_168,6834,3.417,645.6372990784166,6188.362700921583,0.09447429017828747,76,56.0,-53,8.607079023510122,1.1628193830563085
oridb_169,10311,5.1555,977.669860971145,9333.330139028854,0.09481814188450635,958,38.0,-360,2.2392640786148994,0.7262129618267031
