orf_name,replication_time,replication_H_index
YCR043C,7.8578,162.0
YCR044C,7.3526,161.0
YCR045C,6.8474,160.0
YCR046C,6.8474,160.0
YCR047C,5.8369,158.0
YCR048W,5.8369,158.0
YCR050C,4.3213,155.0
YCR051W,4.3213,155.0
YCR052W,4.3213,155.0
YCR053W,3.3109,153.0
YCR054C,2.3004,151.0
YCR057C,1.7952,150.0
YCR059C,1.7952,150.0
YCR060W,1.7952,150.0
YCR061W,2.3004,151.0
YCR063W,3.3109,153.0
YCR065W,4.3213,155.0
YCR066W,4.8265,156.0
YCR067C,5.3317,157.0
YCR068W,5.8369,158.0
YCR069W,5.8369,158.0
YCR071C,7.3526,161.0
YCR072C,7.8578,162.0
YCR073C,9.3734,165.0
YCR073W-A,9.3734,165.0
YCR075C,9.3734,165.0
YCR075W-A,9.3734,165.0
YCR076C,9.8786,166.0
YCR077C,10.3838,167.0
YCR079W,10.3838,167.0
YCR081W,10.3838,167.0
YCR082W,10.8891,168.0
YCR083W,11.3943,169.0
YCR084C,10.8891,168.0
YCR086W,13.9203,174.0
YCR087C-A,13.9203,174.0
YCR088W,16.4464,179.0
YCR089W,15.436,177.0
YCR090C,11.8995,170.0
YCR091W,10.3838,167.0
YCR092C,9.8786,166.0
YCR093W,9.8786,166.0
YCR094W,11.3943,169.0
YCR095C,13.4151,173.0
YCR095W-A,13.4151,173.0
YCR096C,13.4151,173.0
YCR097W,13.4151,173.0
YCR098C,12.4047,171.0
YCR099C,11.8995,170.0
YCR100C,11.8995,170.0
YCR101C,10.8891,168.0
YCR105W,9.8786,166.0
YCR106W,9.8786,166.0
YCR107W,10.8891,168.0
YDL241W,10.8891,168.0
YDL240W,11.3943,169.0
YDL239C,9.8786,166.0
YDL238C,9.8786,166.0
YDL237W,9.8786,166.0
YDL236W,8.8682,164.0
YDL235C,8.363,163.0
YDL234C,7.3526,161.0
YDL233W,7.3526,161.0
YDL232W,6.8474,160.0
YDL231C,5.3317,157.0
YDL230W,5.3317,157.0
YDL229W,4.8265,156.0
YDL227C,5.3317,157.0
YDL226C,5.8369,158.0
YDL225W,5.8369,158.0
YDL224C,7.8578,162.0
YDL223C,8.8682,164.0
YDL222C,8.8682,164.0
YDL220C,9.8786,166.0
YDL219W,9.8786,166.0
YDL218W,9.8786,166.0
YDL217C,9.3734,165.0
YDL216C,9.8786,166.0
YDL215C,9.8786,166.0
YDL214C,8.8682,164.0
YDL213C,8.363,163.0
YDL212W,8.363,163.0
YDL211C,8.363,163.0
YDL210W,6.8474,160.0
YDL209C,7.3526,161.0
YDL208W,7.3526,161.0
YDL207W,7.3526,161.0
YDL206W,7.8578,162.0
YDL205C,8.363,163.0
YDL204W,8.363,163.0
YDL203C,8.8682,164.0
YDL202W,8.8682,164.0
YDL201W,8.363,163.0
YDL200C,8.363,163.0
YDL199C,7.8578,162.0
YDL198C,7.8578,162.0
YDL197C,7.8578,162.0
YDL195W,6.8474,160.0
YDL194W,5.8369,158.0
YDL193W,5.3317,157.0
YDL192W,4.3213,155.0
YDL191W,4.3213,155.0
YDL190C,3.3109,153.0
YDL189W,3.3109,153.0
YDL188C,3.8161,154.0
YDL186W,3.8161,154.0
YDL185W,3.8161,154.0
YDL184C,3.8161,154.0
YDL183C,5.3317,157.0
YDL182W,6.3421,159.0
YDL181W,5.8369,158.0
YDL180W,5.8369,158.0
YDL179W,5.8369,158.0
YDL178W,6.3421,159.0
YDL177C,6.3421,159.0
YDL176W,6.3421,159.0
YDL175C,8.363,163.0
YDL174C,9.3734,165.0
