orf_name,replication_time,replication_H_index
YCL064C,10.7405,116.0
YCL063W,10.1593,115.0
YCL061C,9.5782,114.0
YCL059C,9.5782,114.0
YCL058C,9.5782,114.0
YCL058W-A,9.5782,114.0
YCL057C-A,9.5782,114.0
YCL057W,9.5782,114.0
YCL056C,7.8347,111.0
YCL055W,7.8347,111.0
YCL054W,6.6724,109.0
YCL052C,5.51,107.0
YCL051W,5.51,107.0
YCL050C,6.0912,108.0
YCL049C,6.0912,108.0
YCL048W-A,6.0912,108.0
YCL048W,6.0912,108.0
YCL047C,5.51,107.0
YCL045C,6.6724,109.0
YCL044C,7.2535,110.0
YCL043C,7.2535,110.0
YCL042W,7.2535,110.0
YCL040W,7.2535,110.0
YCL039W,7.8347,111.0
YCL038C,7.8347,111.0
YCL037C,7.2535,110.0
YCL036W,7.2535,110.0
YCL035C,6.6724,109.0
YCL034W,6.6724,109.0
YCL033C,6.6724,109.0
YCL032W,6.6724,109.0
YCL031C,6.6724,109.0
YCL030C,6.6724,109.0
YCL029C,6.6724,109.0
YCL028W,6.6724,109.0
YCL027W,7.2535,110.0
YCL026C-B,6.6724,109.0
YCL026C-A,6.0912,108.0
YCL025C,6.0912,108.0
YCL024W,7.2535,110.0
YCL021W-A,7.2535,110.0
YCL018W,7.2535,110.0
YCL017C,7.8347,111.0
YCL016C,7.2535,110.0
YCL014W,7.2535,110.0
YCL012C,6.0912,108.0
YCL011C,5.51,107.0
YCL010C,5.51,107.0
YCL009C,6.6724,109.0
YCL008C,6.6724,109.0
YCL005W-A,6.6724,109.0
YCL005W,6.0912,108.0
YCL004W,6.6724,109.0
YCL002C,7.2535,110.0
YCL001W,7.2535,110.0
YCL001W-A,7.8347,111.0
YCL001W-B,7.8347,111.0
YCR002C,7.8347,111.0
YCR003W,7.8347,111.0
YCR004C,7.2535,110.0
YCR005C,7.8347,111.0
YCR007C,7.8347,111.0
YCR008W,7.8347,111.0
YCR009C,7.2535,110.0
YCR010C,7.8347,111.0
YCR011C,8.4159,112.0
YCR012W,8.4159,112.0
YCR014C,8.997,113.0
YCR015C,8.997,113.0
YCR016W,9.5782,114.0
YCR017C,8.4159,112.0
YCR018C,8.4159,112.0
YCR019W,7.8347,111.0
YCR020C,7.8347,111.0
YCR020C-A,7.2535,110.0
YCR020W-B,7.2535,110.0
YCR021C,7.2535,110.0
YCR023C,6.6724,109.0
YCR024C,6.6724,109.0
YCR024C-B,6.6724,109.0
YCR024C-A,7.8347,111.0
YCR026C,8.997,113.0
YCR027C,8.4159,112.0
YCR028C,11.3217,117.0
YCR028C-A,11.3217,117.0
YCR030C,11.9028,118.0
YCR031C,12.484,119.0
YCR032W,13.0652,120.0
YCR033W,11.9028,118.0
YCR034W,11.9028,118.0
YCR035C,11.9028,118.0
YCR036W,11.9028,118.0
YCR037C,10.7405,116.0
YCR042C,9.5782,114.0
YCR043C,9.5782,114.0
YCR044C,9.5782,114.0
YCR045C,8.997,113.0
YCR046C,8.997,113.0
YCR047C,8.997,113.0
YCR048W,8.997,113.0
YCR050C,7.2535,110.0
YCR051W,7.2535,110.0
YCR052W,7.2535,110.0
YCR053W,6.6724,109.0
YCR054C,6.6724,109.0
YCR057C,6.0912,108.0
YCR059C,6.0912,108.0
YCR060W,6.0912,108.0
YCR061W,6.0912,108.0
YCR063W,6.6724,109.0
YCR065W,7.2535,110.0
YCR066W,7.8347,111.0
YCR067C,7.8347,111.0
YCR068W,8.4159,112.0
YCR069W,8.4159,112.0
YCR071C,9.5782,114.0
YCR072C,10.1593,115.0
YCR073C,10.7405,116.0
YCR073W-A,10.7405,116.0
YCR075C,11.3217,117.0
YCR075W-A,11.3217,117.0
YCR076C,11.9028,118.0
YCR077C,11.9028,118.0
YCR079W,11.9028,118.0
YCR081W,12.484,119.0
YCR082W,13.0652,120.0
YCR083W,13.0652,120.0
YCR084C,13.0652,120.0
YCR086W,17.1333,127.0
YCR087C-A,17.1333,127.0
YCR088W,20.0391,132.0
YCR089W,18.8768,130.0
YCR090C,13.6463,121.0
YCR091W,12.484,119.0
YCR092C,11.9028,118.0
YCR093W,11.9028,118.0
YCR094W,13.6463,121.0
YCR095C,15.971,125.0
YCR095W-A,15.971,125.0
YCR096C,15.971,125.0
YCR097W,15.971,125.0
YCR098C,14.8086,123.0
YCR099C,14.2275,122.0
YCR100C,14.2275,122.0
YCR101C,13.0652,120.0
YCR105W,11.9028,118.0
YCR106W,11.9028,118.0
YCR107W,13.0652,120.0
YDL241W,13.0652,120.0
YDL240W,13.6463,121.0
YDL239C,11.9028,118.0
YDL238C,11.9028,118.0
YDL237W,11.9028,118.0
YDL236W,11.3217,117.0
YDL235C,11.3217,117.0
YDL234C,10.1593,115.0
YDL233W,10.1593,115.0
YDL232W,10.1593,115.0
YDL231C,8.997,113.0
YDL230W,8.997,113.0
YDL229W,7.8347,111.0
YDL227C,8.4159,112.0
YDL226C,9.5782,114.0
YDL225W,9.5782,114.0
YDL224C,10.1593,115.0
YDL223C,10.7405,116.0
YDL222C,10.7405,116.0
YDL220C,11.3217,117.0
YDL219W,11.3217,117.0
YDL218W,11.3217,117.0
YDL217C,11.3217,117.0
YDL216C,11.3217,117.0
YDL215C,11.9028,118.0
YDL214C,10.7405,116.0
YDL213C,10.1593,115.0
YDL212W,10.1593,115.0
YDL211C,10.1593,115.0
YDL210W,8.997,113.0
YDL209C,9.5782,114.0
YDL208W,9.5782,114.0
YDL207W,9.5782,114.0
YDL206W,9.5782,114.0
YDL205C,10.1593,115.0
YDL204W,10.1593,115.0
YDL203C,10.7405,116.0
YDL202W,10.7405,116.0
YDL201W,10.1593,115.0
YDL200C,10.1593,115.0
YDL199C,10.1593,115.0
YDL198C,10.1593,115.0
YDL197C,10.1593,115.0
YDL195W,9.5782,114.0
YDL194W,8.4159,112.0
YDL193W,8.4159,112.0
YDL192W,7.8347,111.0
YDL191W,7.8347,111.0
YDL190C,7.2535,110.0
YDL189W,7.2535,110.0
YDL188C,7.8347,111.0
YDL186W,7.8347,111.0
YDL185W,7.8347,111.0
YDL184C,7.8347,111.0
YDL183C,8.997,113.0
YDL182W,9.5782,114.0
YDL181W,8.997,113.0
YDL180W,8.997,113.0
YDL179W,8.4159,112.0
YDL178W,8.997,113.0
YDL177C,8.997,113.0
YDL176W,8.997,113.0
YDL175C,10.7405,116.0
YDL174C,10.7405,116.0
YDL173W,10.7405,116.0
YDL171C,10.1593,115.0
YDL170W,10.1593,115.0
YDL169C,10.1593,115.0
YDL168W,11.3217,117.0
YDL167C,12.484,119.0
YDL166C,12.484,119.0
YDL165W,12.484,119.0
YDL164C,13.6463,121.0
YDL161W,13.6463,121.0
