"","X0","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YIL145C",2088.70157828458,1921.28713957973,1838.82497480431,2065.70443700793,2039.80479979287,2184.20487157487,2048.65860401445,2058.60636182694,1946.88054424907,2197.12880924581,2323.40798473016,2328.9457711065,2313.03785120128,2346.44461531896,2230.82280401295
"YIL144W",1351.51278594885,1606.15078048238,1809.13229931727,1773.06297509847,1491.49217557573,1191.28699672051,1069.95160389938,1301.48973635259,1605.70871343098,1507.25510344104,1322.6584903451,1099.84768876338,1109.24260313097,1075.0679551639,1202.53943882214
"YIL143C",3409.49816455278,3284.55658252575,3006.38339306241,3326.64485376485,3413.65527427723,3654.2809044316,3508.57226456345,3155.69546650877,2914.26776776232,3122.98689993277,3386.75089499634,3356.85220306607,3410.89911744141,3225.20386549169,3199.58305494356
"YIL142W",10657.3398968921,10840.8648614347,11105.0606321515,11575.4760613376,11576.9663587041,10992.8661479556,10256.32796347,10343.0891066867,10292.3837477769,10640.2314183572,11155.786061384,10987.5027976129,10350.8881584984,10510.849577145,10577.8612617196
"YIL140W",1523.99606107868,4580.79425848144,3505.8566128622,2191.5833011381,1235.74934711624,819.210860031027,2250.70022667971,4386.270697996,3656.04136121844,2239.94855650266,1496.28070344393,1201.05318562299,1985.60554372616,3281.68891739952,3429.91162751566
"YIL139C",376.864142235737,376.074329088556,401.911571770953,378.71248011812,397.935841082962,467.507768289958,450.79179250583,361.872546886499,358.780699505482,427.245922629437,478.392535662849,518.220917654588,449.125063461869,440.768601772622,414.936492161728
"YIL138C",2903.86226211737,2755.26678603074,3421.02039718495,3784.97302572598,3959.9219558667,3522.3922450287,3223.97600037905,2977.36634397969,3247.73571852969,3672.03121475946,3932.20780481753,3881.16983739895,3563.23393428812,3353.91570508495,3372.11382091517
"YIL137C",7504.20386044326,6075.51560812277,5505.87039745327,5065.27942157985,5072.91474532239,5151.16357537834,5218.32234023616,5034.92984544097,5039.43810747117,4888.11203685394,5157.2503727766,5206.59604325903,5371.11552502644,5458.67837699497,5219.91832447114
"YIL136W",1438.93581580918,759.983540033124,553.556307294031,508.894895158724,458.291148599401,496.45893742718,556.157584971048,612.159034646613,602.003198249996,610.895060864362,615.501922831018,554.801217724323,633.85291607484,902.834846067871,1059.3389030657
"YIL135C",1346.78721676721,868.801343588841,1014.85323003906,1044.68698350765,953.409264496968,841.728436026644,786.441584998123,814.473945586038,877.141771490396,895.40849263764,865.130426642629,866.953111652734,802.821994531255,844.497825245024,938.567366885573
"YIL134C-A",7.088353772459,6.96433942756586,15.9067904394836,11.8347650036912,10.2297131383795,15.0117173304115,6.51747169887947,14.60004511934,11.005542929616,10.4670493294517,14.1580345445392,9.75474668526283,10.5058494377045,14.8157513200881,13.802461277729
