"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X130","X140"
"YJL074C",11.0885709001351,13.0428137758863,13.3781681725964,12.5787857300492,11.4570178261977,10.9549176496811,11.9401031807505,12.8898042790568,12.6650305081617,12.0887295940695,11.4806450046803,11.9738197091849,12.4152258107156,12.4566592920507
"YJL073W",11.6378097994055,11.746297589795,11.5532981159691,11.0429262135536,10.5986768417297,10.476209044405,10.8380451463551,11.1278144447996,11.0016440473031,10.8037363365534,10.4955348074452,10.5824814910264,10.8822615661259,10.8678327690838
"YJL072C",9.21576841894283,9.54020000464302,9.89343534362912,9.61285088687121,9.39569115132105,9.33424364279078,9.34263404153353,9.65976557265802,9.47906551849549,9.41189019791658,9.43008540257607,9.61761986290166,9.52113267428272,9.61787998451298
"YJL071W",10.6385758406389,10.5260967890375,10.6376787000447,10.4947030225738,10.4953219872937,10.4878475201809,10.5067841669047,10.4757484704978,10.4157769478333,10.3216734543698,10.4064190017688,10.5220477263766,10.5142692082165,10.4988611333317
"YJL070C",11.3460347891545,10.6119220138946,9.94931234769924,9.87678764354987,9.71024957389406,9.70562721298369,9.67608192830162,9.58015320031749,9.45287518139447,9.54613391216051,9.57831881102387,9.64541777797803,9.67851363500896,9.82452175159466
"YJL069C",11.2692458767438,12.0477275782016,12.1291724169012,12.210411846711,12.320459776371,12.3402228331494,12.3299230557041,12.0685644259382,12.1314926920312,12.1296381282197,12.1983652356787,12.123091803986,11.8412685702228,11.727906890952
"YJL068C",11.3760371898733,11.0194223982776,10.821216586484,10.461016061924,10.1989870691964,9.88361920961128,9.74483340392501,9.1997392146771,9.99977028944629,9.99406498874068,10.0676509729455,10.079772248357,10.195579797209,10.363105741844
"YJL066C",10.6297472350509,9.95889122181513,9.37768059027902,9.17196144204029,9.01975968496758,8.86561238352852,9.09208536409698,8.57855566344381,8.84208930623134,9.08145092944257,9.04835854156219,9.22098223529548,9.24416658276205,9.52165735540444
"YJL065C",9.24788382195507,9.19031706769782,9.16609427693931,9.27499788052093,9.47394449136081,9.31693597245059,9.22499381129094,7.75418382131322,9.10308436059902,9.29210832065877,9.2767190297096,9.34387783401549,9.21121728315358,9.18914782790288
"YJL063C",9.79400301574392,9.5949025094721,9.85113228874736,9.68942681148319,9.76105944643153,9.67370128375407,9.8478705127096,9.72273215304365,10.1661113167846,10.0370783739239,10.0283632735966,10.1759396746901,10.3965708054655,10.705036173919
"YJL062W-A",9.1979441999004,8.75485469142834,8.9821551033848,8.77897734636611,8.64339009343359,8.57625115078965,8.75856174411926,6.50232524369377,8.94598115039851,8.94560495577816,8.9278034777669,9.06253592371398,9.13420263886021,9.18103782575665
"YJL062W",10.74970406002,10.9492165371829,11.1373425458282,11.0314970064775,10.9856338427247,10.9109309790784,10.8480193213984,10.5945962259085,11.1556245108437,11.1419042507188,11.1214430888583,11.0554396841209,11.0643622413723,11.0733015560404
"YJL061W",11.6206477497538,11.870727286482,11.8047979527637,11.7436566234986,11.7671588640228,11.8359914562603,11.8767936846776,11.930787763879,11.9040986162164,11.8805622863037,11.8200003648046,11.9011186012441,11.89731144072,11.8625364062021
"YJL060W",12.3847509196885,11.6201893898617,11.0390497646356,11.3413693514011,11.4365197558859,10.8610932375369,10.5855482576204,10.4645557634473,10.70906511807,10.9245579745302,10.9754061342666,11.0939062212814,11.3303053073002,11.5348067896552
"YJL059W",9.30727444227364,9.53488027186677,9.66829056792573,9.26770363330558,8.91457447371751,8.77970362602568,8.63206214573756,8.91146806222858,9.20863461624086,9.20328306623686,9.13802011799464,9.02565484036755,9.20286076819087,9.39595623108571
"YJL058C",9.31280500015612,9.35336399299816,9.39742106186412,9.33903488640908,9.46958557140498,9.43994430052724,9.43634387623877,9.51410217159079,9.32393280627877,9.1352752769287,9.33663493868645,9.34187988099494,9.14514871158345,9.10162445122863
"YJL057C",11.5650102717808,10.5800103945886,10.1429122236023,10.0167157270378,9.94180470225333,9.76743260512302,9.83359426239034,9.91777036471748,9.7698942419251,9.68048721269307,9.76989223123533,9.73641443207699,9.80667386023444,9.94547518643152
"YJL056C",9.80581239829784,9.6720382808887,9.53387181465082,9.77932988505929,9.78580808046748,9.84642391475579,9.82207057435512,9.54986277966313,9.85899383009366,9.90398544709057,9.80450957796763,9.88918680940521,9.83532181477106,9.58600284412981
"YJL055W",11.1592897712092,10.7130736452686,10.6092014054498,10.6494564846156,10.6753931714936,10.7639327303552,10.8323144968085,10.9797657928353,10.9550071148932,10.9445451549179,11.0654748620761,11.0071278093176,11.0574335113494,11.3320675785493
"YJL054W",11.5684790155168,11.5140919103099,11.6427819870614,11.4670570437256,11.6323909622138,11.6781948127576,11.5361472954125,11.3629598058498,11.5750917459931,11.5499287026043,11.5866388288545,11.6049397744083,11.5855960967962,11.4990022173822
"YJL053W",11.0885709001351,10.4645067756402,10.1591833152147,10.1147678486651,10.0854071711598,10.0261505416374,10.1789570675749,10.1096378675594,9.9876637555238,10.0280609455831,9.98917907935722,10.0917043099032,10.195579797209,10.2915259637715
"YJL052C-A",4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.62964064922179,4.6062300579056,4.58432418558297,4.26705475271881,4.70610774939504,4.26705475271881,4.26705475271881
"YJL052W",13.7200743364122,15.1005592226509,14.8219828804491,14.4433285934636,13.8457884764883,13.1920553275546,12.5120999177776,11.4300200534977,11.7863333763959,11.4958428222637,11.1921449221381,10.8523529536817,10.8016269260618,10.9162239446142
"YJL051W",7.37799511695878,7.39011986064693,7.50099448120984,8.9918035425381,10.8209964336024,11.2677747502876,10.5923457202763,9.89385871149602,9.1608788490724,9.72740893058046,10.5658097193655,10.3588588943055,9.84474598612336,9.31490874045747
"YJL050W",12.2697808066225,13.1853507114278,13.6469406459374,13.770581925533,13.8370444464219,13.8525150033909,13.7420432794584,13.7452896140001,13.6694244944647,13.6835533757233,13.7064978512719,13.5490340140349,13.2674649015319,13.163875426321
"YJL049W",9.39591909242569,9.35033816936764,9.39545914527297,9.47612505060614,9.46082796261494,9.62532452455571,9.46997075883766,9.95291021783249,9.42844175119767,9.66394646506561,9.57831881102387,9.49894168290941,9.62637884182937,9.73600908584963
"YJL048C",10.9204952021935,11.3329724973076,10.6243476337308,10.1389392650722,10.1467304782707,10.2793112192663,10.4367491957803,10.5517556226487,10.3581767251019,10.3025725648308,10.496381796669,10.7841497919378,10.8438505826533,10.8589726764829
"YJL047C-A",9.99304750217368,9.53221302148634,9.28745648529511,9.74473908977482,9.89545346219546,10.1811633806953,10.706391200756,8.63967794753604,9.7066640206357,9.85528691149095,9.96612574867542,9.86713905519654,9.44702869058893,9.70100908263594
"YJL047C",10.9013666225746,10.9944626485012,10.7834843061503,10.6475859716828,10.7090434025219,10.7655272093487,10.7944997873125,10.9272883889523,10.7136652435294,10.6997049771798,10.6580176894603,10.8002335799379,10.8002440776683,10.6199359606149
"YJL046W",9.62875222911471,9.75672251886248,9.89759816251671,9.79462895373376,9.68227472855722,9.74981248995376,9.91177923479413,10.196399393299,10.0746477458313,10.0663161241001,10.0342084520972,10.0035043361809,10.1166582688379,10.163715223436
"YJL045W",7.42010055024459,7.0545729712632,6.91402630543859,6.97825940846509,6.6782849986494,6.58762386720239,6.11788820560381,6.32824027033547,6.25586897880383,6.4842344136362,6.21332922336158,6.47828474973052,6.3549778501119,6.68259506534137
"YJL044C",11.1061805701416,10.7786458959609,10.2531328192933,9.96506998792447,10.1989870691964,10.6986635305367,10.9173256040411,10.7006866338197,10.598003440619,10.4253782192167,10.5081877099589,10.9506059688629,10.9030239941554,10.7127847331644
"YJL043W",4.62860277826757,4.80797437331667,4.96379724932931,4.84408355001062,5.26805344961462,5.35762063455797,5.02530067689639,4.71055130334508,4.94082869273025,5.34320120933722,5.40938146266985,5.2343781060546,5.29807938946485,5.1450822153153
"YJL042W",11.4215015747721,11.1616013076813,10.9145259808354,11.0039840892747,11.1586398865075,11.1003595115573,11.0179414151812,11.0031585591832,11.3695174610287,11.3882413476012,11.2272580464195,11.2361199544197,11.4488848173328,11.5419413654449
"YJL041W",12.0020898735677,11.9123216683602,12.0805868582268,12.0683989221226,12.2092539362383,12.0997930468245,12.1704533868569,12.1096528113243,12.052723402097,12.127228118561,12.1561182320315,12.1595328628933,12.0912562179586,12.154722810921
"YJL039C",12.9629661960666,13.1828036789354,13.2185203232615,13.4322334975763,13.4939030752438,13.5353140223923,13.5276570225446,13.3412748282741,13.3518391223883,13.4188597847312,13.3677852076428,13.3249603759315,13.2382775921336,13.1629759524308
"YJL038C",5.06731858187301,5.3309695458207,5.92593007537904,6.18909965075858,5.88321078155856,5.479579233773,4.70816403377106,5.46515536451658,5.58099755598367,5.63676231206884,5.54441570553633,5.36412479694059,5.25585870515204,5.55321773218227
"YJL037W",6.17542764661572,5.89918893936398,6.22411051581206,6.16678993773302,6.16875297386352,5.88649665053529,6.19696033731485,5.7250176527286,5.78990440660306,6.01237362443046,5.89216584020642,5.88753000354593,5.77686570752097,5.93153140440918
"YJL036W",11.0057008400198,10.606863366115,10.2125025423071,10.1614016582279,9.9116055561213,9.87625653663944,9.78396929900566,10.0642173592282,9.96004651170045,10.0046109227147,9.9377166708686,9.95598975064918,10.2288587776981,10.2329609488678
"YJL035C",9.09896441538618,8.80881155686765,8.8875441392319,9.03828680802334,9.1911199080915,9.36193238732081,9.5314230754431,9.51168627287748,9.72865688019535,9.53889440306556,9.41940076423547,9.33386023495287,9.35765896530133,9.47268511554085
"YJL034W",16.467946463794,15.9261334708124,15.729012708368,15.5948402195366,15.4461504812536,15.2758253260585,15.2196879935565,15.0125481865003,15.4986163604787,15.753379184027,15.7721476927415,15.6308008200035,15.7264653876719,16.0237125550873
"YJL033W",11.2354580555504,12.6429160640019,12.9032972630938,13.0432111464402,13.0215719041134,12.9954876069204,12.8532391456571,12.9547839342248,12.7460681815573,12.6983518931987,12.6873735116274,12.5882684710746,12.2240275328505,12.0115955649036
"YJL031C",10.8193009137831,10.1238198816809,10.0298977782356,10.2179650108283,10.0825568056241,10.0873663409632,9.94137082425369,10.0036347568317,9.79790072377559,10.0700864009481,10.0642271549303,10.0148289590326,10.1155465882531,10.3541249763596
"YJL030W",10.2850133176042,9.54814295542856,9.61702834533174,9.75867518724025,9.69539726233966,9.61474335109956,9.44011919624077,9.5237254571537,9.44182042650841,9.48529093879151,9.5144982110307,9.57574100296138,9.53949272472415,9.80487720061807
"YJL029C",11.218630658422,11.2759572660566,11.2512079073473,11.3631875674907,11.3455538357285,11.2901014892532,11.2918631959605,11.1758769265003,11.1522398312948,11.2822889656219,11.267998262995,11.1098315887956,11.0660892361017,11.0987914681728
"YJL028W",4.26705475271881,4.26705475271881,4.26705475271881,4.60167695661201,4.74624667237187,4.5887563854356,4.26705475271881,4.62964064922179,4.26705475271881,4.26705475271881,4.86812399704394,4.57810870725316,4.57050050901702,4.56374536119935
"YJL027C",5.20929024517877,5.39249662356433,5.41385872671255,5.25382546990998,4.94169034331285,5.0471547535936,5.6787554949327,5.21191618291185,5.15253208813524,5.38510336772266,5.29387252134119,5.18639122542564,5.06130900564193,5.35328706340463
"YJL026W",13.9429932081969,13.870714370517,14.0259751578019,14.0628206676736,13.9870502652986,13.8650245341584,13.7134939828875,13.6806042631262,13.6702529177399,13.6458523852886,13.6123778921497,13.5653798281269,13.526450110621,13.5050195545714
"YJL025W",9.35630108220364,10.3065434000227,10.317714913485,10.378835192377,10.344082993551,10.3490385869031,10.2146426853136,9.94666581025536,10.2944992838624,10.2918506061973,10.3056441836917,10.1882166069695,10.0106173735536,9.94068298013947
"YJL024C",9.46211004988425,9.60509062135962,9.61365763612355,9.69668430494322,9.74492222538943,9.58614102898382,9.45138614927115,9.4799052601293,9.3921456035267,9.50771407855994,9.4823511934869,9.38520703969688,9.46809521670492,9.31860937831937
"YJL023C",9.18894864389266,9.3713866384724,9.16609427693931,8.96498120176412,8.94945381669353,9.0654934935141,9.12999227526217,9.24263297655022,9.04579661178463,8.98345889911812,8.99655445748459,9.00053153690699,8.90091210891599,8.92101273530526
"YJL020C",12.8996602645914,12.7611693528411,12.5226765855271,12.1369922135205,11.9811771493589,11.8704782066976,11.7472788727504,11.8920979628781,11.5669804049817,11.574461692483,11.6602785073834,11.8022275712703,11.8243623389326,11.6508087156405
"YJL019W",8.81297308398512,10.6554443203035,10.8522806374087,10.3833384251354,10.0346934971204,9.77853427820408,10.2813671398798,10.6873763772718,10.6970356724255,10.5082966034317,10.2504796386261,10.2470140836853,10.5024121616101,10.3622101779338
"YJL016W",11.9134916632031,11.4456240567002,11.0999093167562,10.7985041741508,10.6448081858382,10.5353548830348,10.6922235910676,10.77505061392,10.6158077038177,10.5239567307017,10.4225508192957,10.4064436008708,10.460127556234,10.4389649417252
"YJL014W",13.0128301300741,12.9115481922696,13.1062961365097,13.1989804840589,13.2960949952056,13.2918184467824,13.2847011077324,13.3500008100784,13.2177387937036,13.2926806342793,13.3089895763411,13.3022979980603,13.2877106138364,13.3554598501611
"YJL013C",9.94758090911775,9.45545169957968,9.97317576388014,10.1442561026021,9.97906842330221,9.8418952871215,9.7139886949004,9.53685338845982,9.79269079315676,9.99538745703444,9.87786194973813,9.55519842653799,9.68001881920708,9.94068298013947
"YJL012C",13.5618726168877,13.8884081911755,14.1368333772179,14.1262263561811,14.0058785166291,13.8790843732084,13.6601113082956,13.5126919342669,13.4125082585414,13.3570849723508,13.3793080747996,13.5174351932256,13.511424602693,13.4674195412774
"YJL011C",8.73676791120447,9.20379398462446,9.40524211347644,9.60900932740086,9.5357101166318,9.62356638257041,9.73564910685675,9.83518498999956,9.52587840905743,9.44325281126481,9.54757970161769,9.40256284419673,9.28035499432758,9.37300724933517
"YJL010C",11.5563017452302,12.2425288321989,12.297658802633,12.5487873437176,12.5856692983771,12.6411404468857,12.7272956955283,12.7782321097161,12.4580279748497,12.4831814770314,12.5331291261267,12.4365861408645,12.1856220747108,12.1299489656396
"YJL008C",13.3509780134795,13.2759653080749,13.4210763953642,13.4540664940826,13.4956445926929,13.4563246476568,13.3971655745191,13.2872514495483,13.4256039728439,13.4084771847659,13.4329295067519,13.5036621174242,13.4397512082672,13.4289201960341
"YJL006C",9.02673883046377,9.43845686670739,9.50686939409871,9.82970764847098,9.7557004234831,9.69729398389176,9.58355107066494,9.75678692112154,9.64246401730596,9.85382939578553,9.6592404588281,9.53435871877827,9.51608451260924,9.62685969688979
"YJL005W",12.7215825087849,12.2914246656117,11.8949771438577,12.0312262507069,12.0378083782203,12.1142550729471,12.1868244760165,12.1525118487872,12.30702627904,12.3610740647018,12.2881490572818,12.3705594825027,12.4807801632667,12.4490893419524
