Gene_ID,Gene_name,Fourier_score,P_value,FDR
YCR043C,YCR043C,7.11183660969584,0.01124,0.175507262569832
YOR159C,SME1,7.27324665188463,0.01133,0.176085
YDR314C,RAD34,6.98958804544124,0.01134,0.176085
YNL288W,CAF40,7.23348311056405,0.01141,0.176681163434903
YDR225W,HTA1,7.18406340448034,0.01146,0.17688904109589
YIL140W,AXL2,6.91978231947715,0.0115,0.17688904109589
YIL169C,YIL169C,6.89649852827239,0.01152,0.17688904109589
YNL215W,IES2,7.14093761546423,0.01155,0.17688904109589
YDR036C,EHD3,7.18869628926346,0.01169,0.177617741935484
YLR315W,NKP2,7.02312036382107,0.01169,0.177617741935484
YLL043W,FPS1,7.05125038347504,0.01177,0.177617741935484
YBR238C,YBR238C,7.10539418285563,0.01178,0.177617741935484
YDR437W,GPI19,7.00022069977732,0.01179,0.177617741935484
YOR293W,RPS10A,7.23044509333046,0.0118,0.177617741935484
YLR105C,SEN2,7.34647851288329,0.01182,0.177617741935484
YLL054C,YLL054C,6.96782937091463,0.01187,0.177714171122995
YPR046W,MCM16,7.07785604302592,0.01189,0.177714171122995
YBL017C,PEP1,7.03940110593294,0.01201,0.179029066666667
YHL014C,YLF2,7.03564765539828,0.01217,0.18093164893617
YOR368W,RAD17,6.87726577001273,0.01222,0.181193103448276
YOL148C,SPT20,7.19757210293613,0.01228,0.181351670951157
YDR519W,FPR2,6.84291066884497,0.01233,0.181351670951157
YLL027W,ISA1,7.02170974671375,0.01238,0.181351670951157
YIL096C,YIL096C,6.82202066281382,0.0124,0.181351670951157
YDR289C,RTT103,7.09404330550073,0.01245,0.181351670951157
YGR016W,YGR016W,6.71389952368613,0.01245,0.181351670951157
YMR159C,ATG16,7.07385314045093,0.01251,0.181351670951157
YLR272C,YCS4,7.15241759419895,0.01252,0.181351670951157
YPL058C,PDR12,7.25580908578275,0.01256,0.181351670951157
YMR230W,RPS10B,7.13645246571272,0.01258,0.181351670951157
YOL071W,EMI5,7.26066418409423,0.01259,0.181351670951157
YCR079W,PTC6,7.20429804769448,0.01262,0.181351670951157
YLR395C,COX8,7.23760572345536,0.01278,0.182134936708861
YOR150W,MRPL23,6.98061566099229,0.0128,0.182134936708861
YBL069W,AST1,7.0205560865443,0.01283,0.182134936708861
YGL001C,ERG26,7.10858106291442,0.01287,0.182134936708861
YLR103C,CDC45,7.08303398080091,0.01287,0.182134936708861
YCR024C-B,YCR024C-B,7.02167768684176,0.01287,0.182134936708861
YGR146C,ECL1,6.84931499178727,0.01293,0.182203022670025
YLR238W,FAR10,7.14435226744426,0.01294,0.182203022670025
YBL027W,RPL19B,7.11984068388546,0.01308,0.183312967581047
YFL053W,DAK2,7.11348660227591,0.01309,0.183312967581047
YNL075W,IMP4,6.95609628064228,0.01313,0.183312967581047
YDR181C,SAS4,6.95198730449777,0.01315,0.183312967581047
